categoryID,categoryName,spotifyID,spotifyName,spotifyPopularity
4358,randy crawford,1twC2fwPG5FkvYcMpVBQRz,Randy Crawford,59
4359,kasabian,11wRdbnoYqRddKBrpHt4Ue,Kasabian,73
4360,willie nelson,5W5bDNCqJ1jbCgTxDD0Cb3,Willie Nelson,75
4361,ray lamontagne,6DoH7ywD5BcQvjloe9OcIj,Ray LaMontagne,75
4372,scissor sisters,3Y10boYzeuFCJ4Qgp53w6o,Scissor Sisters,68
4373,snoop dogg,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,90
4374,lionel richie,3gMaNLQm7D9MornNILzdSl,Lionel Richie,74
4375,tenacious d,1XpDYCrUJnvCo9Ez6yeMWh,Tenacious D,73
4376,christina aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,86
4379,the who,67ea9eGLXYMsO2eYQRui3w,The Who,77
4380,my chemical romance,7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,83
4385,evanescence,5nGIFgo0shDenQYSE0Sn7c,Evanescence,76
4395,meat loaf,7dnB1wSxbYa8CejeVg98hz,Meat Loaf,68
4397,james morrison,0QWCnpfvnorRJej06j0J7v,James Morrison,55
4398,paolo nutini,7x5rK9BClDQ8wmCkYAGsQp,Paolo Nutini,76
4400,beyonce,6vWDO969PvNqNYHIOW5v0m,Beyoncé,94
4404,morrissey,3iTsJGG39nMg9YiolUgLMQ,Morrissey,68
4405,deacon blue,5jqKIZLB5WA5KquEihB3ND,Deacon Blue,55
4406,the magic numbers,0P2q6xyNc2hVFkG3ThjYcJ,The Magic Numbers,53
4412,pussycat dolls,6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,75
4413,the beautiful south,4fomCZiFUMX73KJ0YQ0V90,The Beautiful South,61
4422,dolly parton,32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,73
4423,incubus,3YcBF2ttyueytpXtEzn1Za,Incubus,79
4424,bloc party,3MM8mtgFzaEJsqbjZBSsHJ,Bloc Party,70
4425,justin timberlake,31TPClRtHm23RisEBtV3X7,Justin Timberlake,88
4426,bryan adams,3Z02hBLubJxuFJfhacLSDc,Bryan Adams,77
4428,massive attack,6FXMGgJwohJLUSr5nVlf9X,Massive Attack,73
4429,roger waters,40DqL6Tv84cKT2pH2NMs9r,Roger Waters,57
4434,nine inch nails,0X380XXQSNBYuleKzav5UO,Nine Inch Nails,73
4435,faithless,5T4UKHhr4HGIC0VzdZQtAE,Faithless,63
4437,get cape wear cape fly,2p55ldnwVuB7xKXBLHDB2y,Get Cape. Wear Cape. Fly,43
4438,the decemberists,7ITd48RbLVpUfheE7B86o2,The Decemberists,70
